Is_contract,Creator name,Creator address,Contracts,Bytecodes,Selfdestructed contracts,Ephemeral contracts,Addresses,Addresses with reinits,Contracts at addresses with reinits
true,ChiToken,0000000000004946c0e9f43f4dee607b0ef1fa1c,10226670,1,7469196,0,10226670,0,0
true,GasToken2,0000000000b3f879cb30fe243b4dfee438691c04,6467761,1,6063128,0,6467761,0,0
true,,0000000000007f150bd6f54c40a34d7c3d5e9f56,1607843,1,1471148,0,1607843,0,0
true,,e9428d4a341ac20e9f2e6b95b12c9ad52733fcd9,939699,1,939699,939699,939699,0,0
true,,8018280076d7fa2caa1147e441352e8a89e1ddbe,727425,1,727322,0,727425,0,0
true,,00000000a8f806c754549943b6550a2594c9a126,682020,1,680538,0,682020,0,0
true,,000007222caeb29694719e804b24fb3ee5116a8a,477444,1,477432,0,477444,0,0
true,,000000000099bee67b9d593aa8ff5447ef99d8c5,458043,1,458043,0,458043,0,0
true,Registrar,6090a6e47849629b7245dfa1ca21d94cd15878ef,429605,1,247709,0,429605,0,0
true,,693c188e40f760ecf00d2946ef45260b84fbc43e,337928,1,337784,0,337928,0,0
true,,a998cf7ac9c2063c95e6f81a0b8f220520d5e81a,294462,1,294462,294462,294462,0,0
true,,5a4e849325e9b87bdb918bbe1bbafdea819bbefe,270380,1,270380,270380,270380,0,0
true,,70872019d755762700951f70057eed26992455f3,268527,1,268527,268527,268527,0,0
true,,000000000000006f6502b7f2bbac8c30a3f67e9a,209425,1,205446,0,209425,0,0
true,,f331ff3d2eaf9a2009dc935816665c962fe82757,207984,1,207984,207984,207984,0,0
true,OwnedUpgradeabilityProxy,0000000000085d4780b73119b644ae5ecd22b376,183804,2,183804,0,183804,0,0
true,,0000000000007ede785b25bc186efea9376784c1,150888,1,118914,0,150888,0,0
true,,0000002263ed26b54a28bbec0db6e51b62297b50,136584,1,87432,0,136584,0,0
true,,000000130bf3701f7b17958add2608b06bc718d2,121592,1,119214,0,121592,0,0
true,,2c204d6970eb394e73868b37ad0913b597c6a391,120640,1,120640,120640,120640,0,0
true,,000000109099b65ba98f0934ddd9c95e8ea3fd48,119448,1,73698,0,119448,0,0
true,,0000000000c90bc353314b6911180ed7e06019a9,118725,1,118725,0,118725,0,0
true,,0000000094acb89a43eac2fbb3a07973efc2435c,114686,1,114109,0,114686,0,0
true,,0000006e2b22a1d0dbf1096fa50f252b8325e18a,107648,1,105030,0,107648,0,0
true,,409b512e1cf94500877c5353b2a0c13b2d24914f,107431,1,85830,0,107431,0,0
true,,00000000b7ca7e12dcc72290d1fe47b2ef14c607,95596,1,76824,0,95596,0,0
true,,2e335b279010906da5d2ca45f593cde49c5f4fd4,95150,1,94581,0,95150,0,0
true,,9c5941b0e22fc11bc2901d78a5913a47fd9c87e0,94542,1,94542,94542,94542,0,0
true,,000000000000084e91743124a982076c59f10084,91126,4,85811,0,66095,17127,42158
true,,b6fb5ee1c5c9249b064f54f2ecbcfe3a66591fa7,80997,1,80997,80997,80997,0,0
true,,8b259620560c73f44adc2a5e0cd2f65c6e26c260,78267,1,78267,78267,78267,0,0
true,,a83063e117298993c3a2346224fdfd7f2f13aba5,78162,1,78162,78162,78162,0,0
true,,1d6e8bac6ea3730825bde4b005ed7b2b39a2932d,76339,1,72578,0,44950,29780,61169
true,,00000000003b3cc22af3ae1eac0440bcee416b40,74432,2,67254,0,74432,0,0
true,,58334f0b09dcf37b909123f97f848b9692e90768,73923,1,73923,73923,73923,0,0
true,,0000000000051666bbfbb42925c3ee5d50cf6b10,69451,1,62270,0,69451,0,0
true,,00000000b1786c9698c160d78232c78d6f6474fe,66400,1,66105,0,66400,0,0
true,,66a20c2045229734bc569e709c6302b5c45c77ef,64131,1,64131,64131,63885,246,492
true,TrueGBP,00000000441378008ea67f4284a57932b1c000a5,58152,1,1201,0,58152,0,0
true,TrueAUD,00006100f7090010005f1bd7ae6122c3c2cf0090,58152,1,920,0,58152,0,0
true,TrueCAD,00000100f2a2bd000715001920eb70d229700085,58143,1,696,0,58143,0,0
true,,1b3006d57d5d9653a4ecaea6cfb0fd72a1537cc9,58131,1,54876,0,58131,0,0
true,TrueHKD,0000852600ceb001e08e00bc008be620d60031f2,58113,1,629,0,58113,0,0
true,,0000001c810f358363780ce3e8a656dd9c787472,56296,1,45690,0,56296,0,0
true,,c931e50fcd16a0f414867e66a46f5ece501d0f38,55616,1,55616,55616,55616,0,0
true,,352df3c66537efdaa906a2cdd718966b4946f15a,55230,1,55230,55230,55230,0,0
true,,00000000c47cae4dfcbff7afbfae810dc1e99f98,54000,1,37260,0,54000,0,0
true,,00000000af5a61acaf76190794e3fdf1289288a1,51456,1,50698,0,51456,0,0
true,,000000000000abe945c436595ce765a8a261317b,49560,1,49500,0,49560,0,0
