creator contract address, number of child contracts that were redeployed
0x00000000c9329eab0ede00c18accad77db00aa73, 1
0x581b86c31495cf53ae878ebed493487d56110d3d, 1
0x0e368aa8e38ca2080c82c0ddb06b7d613e871c7d, 2
0xc808d64496218d4d0d1469afd788302967ba2932, 5
0x00000000004c46cecbb6b3c67de2d24fbf4dd487, 1700
0xed6f56fad51382822a5eaaa103bdb620d5acc280, 2
0x2319c999808d589b5fb33349b182f000d281dc65, 9
0x3452954838762313786992245132387393331546, 10
0x47b9d09fd8a6b3736f0c532682cc8e1e7e635dbb, 3
0x3358614da7453f565554df679af3994bb2405192, 15
0x000000000000740a22fa209cf6806d38f7605385, 15
0x5d462da79064c82004ac913179558c3106255d5b, 13
0x000000000000084e91743124a982076c59f10084, 25031
0x48c3af846025110d1b29670553439b2c1fa7191a, 1
0x55757942b19e543a7d4c909f952f5509b10b66b3, 27
0x0000000000000eb4ec62758aae93400b3e5f7f18, 2454
0xe6f58078e071b49006f41e48c8ba4e9242788661, 13213
0xbf4d88af4ef210ccf5b4383372b85ee8655cb896, 2
0xe886ef0d58dc6aa1abe20a0d262559d50e2f2400, 31
0x055658fa70d40a5fa3d0e3e66c29f7e7add08553, 12
0xc42462665f523c0e6ef57a6ba56e60e1cd667231, 7
0x1d6e8bac6ea3730825bde4b005ed7b2b39a2932d, 31389
0x4261e2085975fea6618d15e58a9b6abddaf8d3bf, 3
0x62a86d2850ee76b579637f860dcf295692b62b54, 2
0xb8eea0963f9535a62b55c1417853d112cd93d78b, 10
0x50f9cf6e81b3fa9d83a146a91e09afc39ce51f13, 6
0x000000000000f095b1b50de78b7a6bc4697b2927, 115
0xbad5531e175167cd89e8fdc099b3ec43d83c48b7, 2
0x6c0644ad0d3a961608ba5459bce291400e3207ef, 3
0x8546130f6c53501649dcf3fdcd7e90cf2cc1f894, 2
0x167f2d3222e2c27ca5e3d49c17ea41b13fcdc104, 1
0x19bf8bedc2bbdcfd2b8f287f4120e4e50ddbca4b, 1
0x000085b8bdd57126a7000300af0076995f3700f1, 213
0x2515b598ba3d02fa6977456d11955c04d0fbc845, 4
0xc40037dbe19d0e208904a5cfbd8edaa34a87958a, 145
0x0d18356d86893a1377f49b6aabcc53597990d801, 1
0x3fad7d0608dd6901ecf2ca727277b28160503ac3, 7
0x3092481b16b2cad913b7ae5ee32b5a7717914311, 6
0x000000000000ce024a2c86451474057d3ad8ea33, 1
0x0000000000007673393729d5618dc555fd13f9aa, 40
0x56adb9b1ee78f91aab84c29ab4225270d8e71fa2, 4
0x49307d775728daf1d4736ab762de0cefd035e323, 6299
0x0000000000c9dee93d7eca6a304a192b4487482e, 12
0x0000000099cb7fc48a935bceb9f05bbae54e8987, 34407
0xa3079310596e557d3b8a9d0e03b14287a56d7b1e, 3
0x5aaa33de85c9daea4f9e216be937409849f80ecd, 5
0x000000000035b5e5ad9019092c665357240f594e, 21950
0xdd0a463d2f63d666e633ba0c5e5be79ecefea65b, 2
0xa728165138a90c9403aa9a22053daa34b0302f42, 2
0x000000000000cb53d776774284822b1298ade47f, 2559
0x00000000032962b51589768828ad878876299e14, 3415
0x000000005736775feb0c8568e7dee77222a26880, 4
