creator contract address, number of child contracts that were redeployed
0x55757942b19e543a7d4c909f952f5509b10b66b3, 1
0x5aaa33de85c9daea4f9e216be937409849f80ecd, 3
0x0000000082d6867730081b2a0f149197ebc5d409, 1
0xb8eea0963f9535a62b55c1417853d112cd93d78b, 1
0xadac5065a6914c491aa8e71c6af6188f26ec2a12, 2
0x000000000000084e91743124a982076c59f10084, 192
0xab6b9990de3c7a76ab2a2d8c6c2d74a7924e920e, 1
0x00000000e82eb0431756271f0d00cfb143685e7b, 2
0x744cceddfcb230369a8e7e42cbe6bd93b66c4015, 2
0x0000000000c9dee93d7eca6a304a192b4487482e, 3
0x000000000000e216af1ae0f1302ac506a634d386, 1
0x00000000fe582996fbe4f7b5744f1059704acf22, 1
0x5a420d0f5f2e4252f4a806bc0935cc4efe44e608, 2
0x3c15859395503ab176cc25b6f45148783b0b04ac, 1
0x72cf4c2d45b027ba662a5621bb09f5019adc0202, 1
0x920a1b37e7983244e1b5e5e46f27b4da00d47347, 1
0xc1f36ab7b4cb08896a13904aee9775d98f4e63ec, 1
0x00000000008ddc7ec01925bec9547de401802922, 2
0x6831ff53c47022840dae8b36a39fc22d5827146d, 1
0x62261ae38d40bcd5ab3e44989161b70a91e4d7da, 1
0x56adb9b1ee78f91aab84c29ab4225270d8e71fa2, 2
0x8c9b3f13f69759cf1cb3a95e84292e8716392402, 1
0xc59646d4122f795a1aaccc3a8a6d16b6d4fcdf43, 1
0x8bdb38c9af9de3c1db64207300bd884189003cd7, 1
0x847932b826c6056cc08571c07f942148a8531ca8, 1
0xe320212c832d64f4a5bfc9cd86ed0dedab8551b0, 1
0xe886ef0d58dc6aa1abe20a0d262559d50e2f2400, 1
0xc42462665f523c0e6ef57a6ba56e60e1cd667231, 1
0x0eeffd25baa9f263565d3867f9864660553f19e3, 1
0x734ea21aa98f655e2b47d75a46492a7e8a0ae47b, 1
0xa1487a57017f720de19cc46a9836815a77c83719, 1
0xe127c85a73d3e21fa07451199eff763232975a91, 1
0x3452954838762313786992245132387393331546, 1
