Is_contract,Creator name,Creator address,Contracts,Bytecodes,Selfdestructed contracts,Ephemeral contracts,Addresses,Addresses with reinits,Contracts at addresses with reinits
true,,1d6e8bac6ea3730825bde4b005ed7b2b39a2932d,76339,1,72578,0,44950,29780,61169
true,,000000000000084e91743124a982076c59f10084,91126,4,85811,0,66095,17127,42158
true,,0000000099cb7fc48a935bceb9f05bbae54e8987,41952,1,37913,0,7545,6660,41067
true,,000000000035b5e5ad9019092c665357240f594e,32352,2,25067,0,10402,6219,28169
true,,e6f58078e071b49006f41e48c8ba4e9242788661,13725,1,13209,0,512,512,13725
true,,49307d775728daf1d4736ab762de0cefd035e323,29249,1,29249,0,22950,3600,9899
true,,00000000032962b51589768828ad878876299e14,6240,1,4703,0,2825,1840,5255
true,,000000000000cb53d776774284822b1298ade47f,7424,1,7025,0,4865,1535,4094
true,,0000000000000eb4ec62758aae93400b3e5f7f18,3254,1,2914,0,800,512,2966
true,,00000000004c46cecbb6b3c67de2d24fbf4dd487,2500,1,1899,0,800,760,2460
true,,c0f6670fb9cdfa8bc2f4a4ebd181a9cf69754fea,2295,1,2295,2295,1202,372,1465
true,PineCore,d412054cca18a61278ced6f674a526a6940ebd84,6959,1,6959,6959,6596,259,622
true,,66a20c2045229734bc569e709c6302b5c45c77ef,64131,1,64131,64131,63885,246,492
true,ChainBot4000,138dd6d5d403628fc1d2db31bf832ef298f56cdf,521,1,521,521,107,53,467
true,,000085b8bdd57126a7000300af0076995f3700f1,3960,1,2781,0,3747,213,426
true,,c40037dbe19d0e208904a5cfbd8edaa34a87958a,1622,1,1622,0,1477,145,290
true,,000000000000f095b1b50de78b7a6bc4697b2927,579,1,576,0,464,83,198
true,UniswapEX,bd2a43799b83d9d0ff56b85d4c140bce3d1d1c6c,1283,1,1283,1283,1191,63,155
true,,672d455662ddc28d825d4b7d859e0f47f0acbe96,292,1,292,292,203,55,144
true,,ba7e96821f69d9ab74bdbbf205d7f3ac93ae7dd4,189,1,189,189,93,38,134
